Jugador_Base;Ranking;Jugador_Comparable;Similitud_Coseno
Bronson Arroyo;4;Anibal Sanchez;1,0
Bronson Arroyo;5;Ramon Ortiz;1,0
Christian Arroyo;1;Frank Snyder;0,9462
Christian Arroyo;2;Rich Dauer;0,9199
Christian Arroyo;3;Pedro Feliz;0,9103
Christian Arroyo;4;Gabby Hartnett;0,8917
Christian Arroyo;5;Rube Oldring;0,8757
Luis Arroyo;1;Jerry Zimmerman;1,0
Luis Arroyo;2;Roy Roberts;1,0
Luis Arroyo;3;Spencer Adams;1,0
Luis Arroyo;4;Mark Davidson;1,0
Luis Arroyo;5;Bruce Sutter;1,0
Richie Ashburn;1;Rey Ordonez;0,9797
Richie Ashburn;2;Owen Wilson;0,9506
Richie Ashburn;3;Warren Cromartie;0,9493
Richie Ashburn;4;Jack Marshall;0,9492
Richie Ashburn;5;Billy Goodman;0,9485
Alan Ashby;1;Ray Fosse;0,9857
Alan Ashby;2;Aramis Ramirez;0,9703
Alan Ashby;3;Matt Nokes;0,9616
Alan Ashby;4;Evan Longoria;0,9591
Alan Ashby;5;Jim Thome;0,9491
Andy Ashby;1;Hiroki Kuroda;1,0
Andy Ashby;2;Rick Reuschel;1,0
Andy Ashby;3;Walker Buehler;1,0
Andy Ashby;4;Joe Niekro;1,0
Andy Ashby;5;Chad Billingsley;1,0
Billy Ashley;1;Rick Wilkins;1,0
Billy Ashley;2;Shawn Estes;0,9996
Billy Ashley;3;Mike Redmond;0,9996
Billy Ashley;4;Charlie Manuel;0,9996
Billy Ashley;5;Felix Pie;0,9996
Bob Aspromonte;1;Jorge Alfaro;1,0
Bob Aspromonte;2;Hank Wyse;1,0
Bob Aspromonte;3;Joe Dobson;1,0
