Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
Anthony Rizzo;5;Nick Castellanos;0,8712
Aramis Ramirez;1;Hank Severeid;0,8913
Aramis Ramirez;2;Juan Gonzalez;0,8218
Aramis Ramirez;3;Marco Scutaro;0,8208
Aramis Ramirez;4;Eddie Joost;0,8204
Aramis Ramirez;5;Jimmy Johnston;0,8104
Arky Vaughan;1;Bob Bescher;0,9411
Arky Vaughan;2;Rabbit Warstler;0,9292
Arky Vaughan;3;Tommy Holmes;0,9099
Arky Vaughan;4;Desi Relaford;0,898
Arky Vaughan;5;Matt Holliday;0,8922
Arlie Latham;1;Jason Kipnis;0,8908
Arlie Latham;2;Silver Flint;0,8864
Arlie Latham;3;Clint Thomas;0,8657
Arlie Latham;4;Fernando Vina;0,8361
Arlie Latham;5;Bill Joyce;0,813
Art Devlin;1;Rick Burleson;0,8752
Art Devlin;2;Felix Millan;0,8512
Art Devlin;3;Ozzie Guillen;0,8495
Art Devlin;4;Bingo DeMoss;0,8364
Art Devlin;5;Jim Busby;0,8325
Art Fletcher;1;Tommy Pham;0,9157
Art Fletcher;2;Seth Smith;0,9136
Art Fletcher;3;Kid Elberfeld;0,8666
Art Fletcher;4;Leon Wagner;0,8664
Art Fletcher;5;Joe Sommer;0,8571
Art Whitney;1;Jeffrey Leonard;0,9516
Art Whitney;2;Del Ennis;0,925
Art Whitney;3;Phil Nevin;0,8857
Art Whitney;4;Carl Everett;0,8811
Art Whitney;5;Babe Herman;0,832
Arthur Irwin;1;Jacque Jones;0,8601
Arthur Irwin;2;Billy Southworth;0,7954
Arthur Irwin;3;Bucky Dent;0,7798
Arthur Irwin;4;Todd Zeile;0,7409
Arthur Irwin;5;Juan Samuel;0,7384
Asdrubal Cabrera;1;Jason Kipnis;0,9424
Asdrubal Cabrera;2;Jack McCarthy;0,8648
Asdrubal Cabrera;3;Kevin Mitchell;0,8624
Asdrubal Cabrera;4;Silver Flint;0,7569
Asdrubal Cabrera;5;Ival Goodman;0,7548
Aubrey Huff;1;Mickey Owen;0,961
Aubrey Huff;2;Rod Barajas;0,8902
Aubrey Huff;3;Harold Reynolds;0,8406
Aubrey Huff;4;Geoff Jenkins;0,8308
Aubrey Huff;5;Chris Hoiles;0,8171
Augie Galan;1;Curt Walker;0,8071
Augie Galan;2;Tommy Henrich;0,8029
Augie Galan;3;Danny Murphy;0,7979
Augie Galan;4;Kyle Schwarber;0,7922
Augie Galan;5;Todd Frazier;0,7812
Aurelio Rodriguez;1;Tito Francona;0,9113
Aurelio Rodriguez;2;Vince DiMaggio;0,9069
Aurelio Rodriguez;3;Ed McFarland;0,8428
Aurelio Rodriguez;4;Roger Cedeno;0,841
Aurelio Rodriguez;5;Bob Skinner;0,795
Austin Kearns;1;Angel Pagan;0,9516
Austin Kearns;2;B. J. Upton;0,9128
Austin Kearns;3;Skip Schumaker;0,9091
Austin Kearns;4;Jim Gantner;0,9024
Austin Kearns;5;Gordon Beckham;0,8536
B. J. Surhoff;1;Frank Hankinson;0,9361
B. J. Surhoff;2;Danny Litwhiler;0,8329
B. J. Surhoff;3;Curt Walker;0,8032
B. J. Surhoff;4;Augie Galan;0,769
B. J. Surhoff;5;Terry Pendleton;0,7391
B. J. Upton;1;Monte Irvin;0,9591
B. J. Upton;2;Skip Schumaker;0,9272
B. J. Upton;3;Maikel Franco;0,9142
B. J. Upton;4;Austin Kearns;0,9128
B. J. Upton;5;Angel Pagan;0,8587
Babe Herman;1;Elliott Maddox;0,9022
Babe Herman;2;Roger Maris;0,8962
Babe Herman;3;Mike Lansing;0,8804
Babe Herman;4;Tommy Dowd;0,8668
Babe Herman;5;Jerry Lumpe;0,8461
Babe Ruth;1;Bibb Falk;0,9015
Babe Ruth;2;Jason Kubel;0,862
Babe Ruth;3;Ron LeFlore;0,8595
Babe Ruth;4;Gorman Thomas;0,8536
Babe Ruth;5;Mike Lamb;0,8523
Baby Doll Jacobson;1;Branch Russell;0,9185
Baby Doll Jacobson;2;Bill Bruton;0,9002
Baby Doll Jacobson;3;Tommy McCarthy;0,8741
Baby Doll Jacobson;4;Jimmie Wilson;0,8709
Baby Doll Jacobson;5;Brandon Phillips;0,8699
Bake McBride;1;Brook Jacoby;0,9335
Bake McBride;2;Billy Johnson;0,9147
Bake McBride;3;William Robinson;0,9002
Bake McBride;4;Raul Mondesi;0,886
Bake McBride;5;Jay Payton;0,8835
Barry Bonds;1;Joe Oliver;0,8761
Barry Bonds;2;Ed Delahanty;0,8714
Barry Bonds;3;Hank Severeid;0,8693
Barry Bonds;4;Muddy Ruel;0,8581
Barry Bonds;5;Paul Radford;0,8564
Barry Bonnell;1;Everett Scott;0,9229
Barry Bonnell;2;Harvey Kuenn;0,8865
Barry Bonnell;3;Sam West;0,8831
Barry Bonnell;4;Ron Gant;0,8787
Barry Bonnell;5;Luke Sewell;0,8753
Barry Larkin;1;Brian Dozier;0,8309
Barry Larkin;2;Buck Ewing;0,8268
Barry Larkin;3;Daryl Boston;0,8113
